Fips_code,PM2.5 24hr 2012 99th Percentile,SO2 1-hour 2010,Ozone 1-hour 1979,NO2 1-hour,Coal_plants,Power_plants,Airports,Public_Schools,Private_Schools,Hospitals,Fuel_Stations,Land_area(mi^2),Population,Number_of_resident_workers,Number_of_business_establishments,Route_miles_of_freight_railroad,Route_miles_of_passenger_railroad_and_rail_transit,Total_Docks,Number_of_Bridges
18097,2,2.9,0.05,39.1,0,0,48,255,79,22,74,293.06,129569,54725,2264,82.3,0,0,297
18105,1,0,0,0,0,0,0,32,7,3,3,383.91,35516,14480,597,15.9,0,0,172
18123,1,0,0.056,0,0,0,2,5,1,1,0,449.17,16937,6620,266,5.2,0,0,202
18127,2,39,0.049,0,0,0,4,54,11,3,41,396.3,12389,5840,190,53.5,0,0,172
18129,1,0,0.052,0,1,0,12,9,3,0,0,443.63,170389,77010,3564,131.6,49.7,7,272
18141,2,0,0.051,38.4,0,0,7,73,36,7,27,401.76,16581,7575,361,23.2,18.3,0,227
18145,1,0,0.046,0,0,0,1,17,2,1,2,86.14,23873,10360,400,12.2,0,0,116
18147,2,0,0,0,1,0,3,10,1,0,2,398.39,44729,21110,937,31.6,8.8,0,248
18153,1,0,0,0,1,0,4,11,0,1,1,381.73,34594,16290,968,39.1,0,0,135
18157,2,0,0,0,0,0,6,37,9,7,17,418.15,10751,4355,128,0,0,1,62
18163,2,3.9,0.058,30.2,0,0,3,40,15,6,14,480.53,7054,3305,118,30.7,16.4,0,57
18167,2,2.5,0.05,0,0,0,1,29,6,4,12,446.43,15498,6375,268,47.6,0,0,127
18173,1,0,0.05,0,2,0,1,18,2,4,3,190.4,8265,3920,126,29,0,0,133
18183,2,0,0,0,0,0,0,11,4,1,9,447.14,24102,11145,596,67.3,27.3,0,216
19013,2,0,0,0,0,0,10,35,9,3,10,403.31,25645,12955,554,50.3,0,0,366
19017,1,0,0.054,0,0,0,1,19,2,2,0,364.68,26234,13445,573,24.4,0,0,134
19033,1,0,0,0,0,0,3,16,2,2,9,569.27,18627,9740,467,31.9,0,0,308
19045,2,8.1,0.052,0,1,0,3,18,2,3,4,565.77,17549,8790,538,59.3,0,1,262
19085,1,0,0.06,0,0,0,2,10,0,1,0,531.88,16846,8350,560,69.6,0,0,251
19103,2,0,0,0,0,0,6,40,8,4,19,511.15,18295,7935,686,28.4,24.4,0,159
19111,2,0,0,0,0,0,3,12,4,3,2,576.75,14813,7595,556,82.7,0,0,277
19113,2,42.6,0.053,0,2,0,5,77,14,2,26,571.01,33657,16085,875,61,19.8,6,218
19137,1,0,0.059,0,0,0,2,9,0,1,2,575.62,7707,3605,183,78.5,39.6,0,140
19139,2,23.9,0,0,1,0,1,16,1,1,7,579.18,9917,4620,310,35.5,25.8,0,216
19147,2,0,0.059,0,0,0,2,10,1,1,2,401.77,15107,7065,402,11,0,0,199
19153,2,0,0.057,37.3,0,0,10,130,19,9,60,561.01,6619,3400,218,43.4,0,0,208
19155,1,0,0,0,1,0,4,33,3,2,10,570.86,490161,240250,12995,125.3,0,0,537
19163,2,3.4,0.05,0,0,0,5,52,8,4,20,469.13,9721,4905,333,34.9,0,0,234
19177,2,1,0.054,7.1,0,0,2,3,0,1,0,534.94,12241,6275,332,24.8,24.8,0,187
19193,1,0,0,0,2,0,5,37,9,3,14,575.01,19991,11920,640,29.6,0,0,351
21013,1,0,0,0,0,0,4,19,1,2,0,727.29,12500,4430,126,0,0,0,89
21019,1,0,0,0,0,0,2,24,1,1,0,889.48,19788,8935,387,29.1,0,0,114
21037,1,0,0,0,0,0,2,27,12,2,4,405.28,39001,16600,840,11.4,0,0,208
21043,1,0,0,0,0,0,1,12,1,0,1,246.66,10631,4395,233,32.5,0,0,68
21047,2,0,0,0,0,0,4,19,5,3,7,278.79,16159,5720,235,0,0,0,140
21061,1,2.2,0,0,0,0,1,5,0,0,0,492.41,101511,43020,2327,26.4,0,6,282
21067,1,0,0,0,0,0,10,77,23,11,17,426.09,14106,4685,181,22.9,0,0,49
21093,1,0,0,0,0,0,4,36,3,4,8,305.18,8722,3520,134,24,0,0,70
21139,1,0,0,0,0,0,1,4,0,1,1,286.28,24549,8950,295,24,0,0,136
21145,1,0,0,0,1,0,1,22,1,2,2,345.2,8210,2720,161,14.9,0,0,80
21151,1,0,0,0,0,0,3,25,2,2,4,261.95,9207,3885,168,0,0,0,75
21193,1,0,0,0,0,0,0,19,0,1,0,301.25,14590,6330,169,28.7,3.4,0,93
21199,1,0,0,0,1,0,3,19,3,1,3,305.42,12359,4200,164,0,0,0,107
21227,2,0,0,0,0,0,1,46,6,4,5,277.16,14381,6175,257,2.8,0,0,127
22005,1,0,0.058,27.1,0,0,9,27,3,5,5,281.77,25627,8375,309,57.5,0,0,183
22015,1,5.1,0.061,0,0,0,14,34,1,5,11,374.5,13241,5105,227,57.9,0,0,190
22017,1,0,0.064,0,0,0,15,67,14,14,14,441.43,127039,59580,2495,98.1,0,0,280
22019,1,19.4,0.067,38.6,1,0,22,61,11,13,6,151.65,240204,106110,6293,142.1,0,1,688
22033,1,33.4,0.056,40.7,0,0,42,125,46,21,24,222.17,27463,10525,427,74.8,0,0,206
22047,1,0,0.06,21.9,0,0,7,10,1,1,0,832.43,69830,30545,1602,45.3,17.5,14,145
22051,1,0,0.062,37.4,0,0,17,91,48,17,16,811.27,15744,5280,242,12.8,0,0,165
22055,1,0,0.054,0,0,0,37,48,17,17,14,878.54,31368,12560,645,49.3,25.4,1,243
22057,1,0,0.059,0,0,0,11,32,3,3,0,1063.66,244390,116410,8567,24.3,20.9,0,316
22063,1,0,0.059,11.7,0,0,8,44,3,1,1,708.03,46742,20610,1098,27.2,0,0,178
22071,1,0,0,43.8,0,0,18,93,41,13,20,455.37,38158,13585,803,67.6,0,0,321
22073,1,0,0.059,0,0,0,10,60,9,10,5,420.7,390144,171775,9422,86.2,55.9,23,394
22077,1,0,0.057,0,1,0,4,5,3,1,0,662.38,23197,10460,660,19.9,0,76,37
22079,1,0,0,0,1,0,12,51,9,14,8,624.59,21730,8845,342,87.4,0,0,52
22087,1,35.9,0.062,0,0,0,1,12,2,2,0,569.18,23884,8225,480,45.7,0,0,201
22089,1,50.9,0,0,0,1,5,15,2,1,0,295.63,47244,17520,678,16.2,0,8,29
22093,1,1.8,0.055,0,0,0,1,9,1,2,0,268.72,10132,3565,115,0,0,0,140
22095,1,0,0.06,0,0,0,1,11,5,1,0,1068.21,21096,8985,318,50.1,0,17,26
22099,1,0,0.059,0,0,0,0,16,4,2,0,471.74,82124,30210,1616,83.7,0,0,325
22103,1,0,0.06,0,0,0,18,57,21,15,6,624.44,49348,20730,1224,63,39.9,49,125
22105,1,0,0,0,0,0,8,35,8,9,4,794.93,260419,110945,6469,30.7,27.7,3,356
